technology,role_a,role_b,is_fork
elastic_search,santosh8619.a,inhumantsar.k8s_elasticsearch,0
elastic_search,redouane.elasticsearch,chubock.elasticsearch,0
elastic_search,viasite-ansible.ansible-role-elasticsearch,Traackr.elasticsearch,0
elastic_search,GoodMirek.elasticsearch_curator,teampants.elasticsearch,0
jenkins,geerlingguy.jenkins,CloudSurgeon.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,EncoreTechnologies.ansible-role-jenkins,1
jenkins,ICTO.jenkins,Oefenweb.jenkins,1
jenkins,emmetog.jenkins,REI-Systems.jenkins,1
jenkins,geerlingguy.jenkins,acceleanu.jenkins,1
jenkins,binarytemple.jenkins,alexagranov.jenkins-oracle-java,1
jenkins,geerlingguy.jenkins,bastly.jenkins,1
jenkins,geerlingguy.jenkins,binarytemple.jenkins,1
jenkins,geerlingguy.jenkins,blinkesto.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,courtlandj.jenkins,1
jenkins,binarytemple.jenkins,crossgovernmentservices.jenkins,1
jenkins,geerlingguy.jenkins,dhs-shine.jenkins,1
jenkins,lean_delivery.jenkins_slave,drewbarrett.jenkins_slave,1
jenkins,geerlingguy.jenkins,it-praktyk.jenkins,1
jenkins,geerlingguy.jenkins,jackl0phty.ansible-role-jenkins,1
jenkins,geerlingguy.jenkins,jhammell.jenkins,1
jenkins,geerlingguy.jenkins,juju4.ansible-role-jenkins,1
jenkins,geerlingguy.jenkins,kmonticolo.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,krumstein.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,leifmadsen.ansible-role-jenkins,1
jenkins,geerlingguy.jenkins,mircomasa.jenkins,1
jenkins,lean_delivery.jenkins_slave,mircomasa.jenkins_slave,1
jenkins,leaddevops.jenkins,nareshdt99.jenkins,1
jenkins,wurbanski.jenkins-swarm-agent,oliyavan.ansible_jenkins_swarm_agent,1
jenkins,geerlingguy.jenkins,renderqwerty.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,repleo.jenkins,1
jenkins,geerlingguy.jenkins,vahubert.jenkins,1
jenkins,geerlingguy.jenkins,venkateswarlu245a.ansible_role_jenkins,1
jenkins,geerlingguy.jenkins,votum.jenkins,1
jenkins,geerlingguy.jenkins,waltervargas.ansible-role-jenkins,1
jenkins,reynn.jenkins-swarm,wurbanski.jenkins-swarm-agent,1
jenkins,ranjith_ka.jenk_install,Stouts.jenkins,0
jenkins,Azulinho.azulinho-jenkins-plugins,venkateswarlu245a.ansible_role_jenkins,0
jenkins,darkwizard242.jenkinslts,clouddrove.ansible_role_docker_jenkins,0
jenkins,bronzdoc.jenkins-docker-service,adrianjuhl.jenkins_on_openshift4,0
jenkins,azavea.jenkins,goozbach-ansible.jenkins,0
jenkins,shi191099.ansible_jenkins_role,venkateswarlu245a.ansible_role_jenkins,0
jenkins,mrlesmithjr.jenkins,NINEJKH.jenkins,0
jenkins,peopledoc.ansible-role-jenkins-node,jhagdu.jenkins,0
jenkins,Azulinho.azulinho-jenkins-reconfigure-jobs-using-job-builder,Azulinho.azulinho-jenkins-reconfigure-jobs-using-jinja2,0
jenkins,Ochir.jenkins_centos,binbash_inc.ansible_role_jenkins_role_based_strategy,0
jenkins,avanov.jenkins,clouddrove.ansible_role_docker_jenkins_node_exporter,0
jenkins,pkorobeinikov.jenkins,Azulinho.azulinho-jenkins-plugins,0
jenkins,ohtomi.jenkins2,binarytemple.jenkins,0
jenkins,trombik.jenkins_slave,renderqwerty.ansible_role_jenkins,0
jenkins,stevehouel.jenkins-role,mrlesmithjr.jenkins,0
jenkins,jervenclark.jenkins_docker,blinkesto.ansible_role_jenkins,0
jenkins,juju4.ansible-role-jenkins,pablerass.jenkins-slave-windows,0
jenkins,wcm_io_devops.jenkins_mqtt_publisher,fatal-exception.jenkins,0
jenkins,AlbanAndrieu.ansible_jenkins_slave,wcm_io_devops.jenkins_mqtt_publisher,0
jenkins,reynn.jenkins-swarm,wcm_io_devops.jenkins_pipeline_library,0
jenkins,songhanpoo.jenkins,jhagdu.jenkins,0
jenkins,emmetog.jenkins,wcm_io_devops.jenkins_plugins,0
jenkins,akry.jenkins,binbash_inc.ansible_role_jenkins_role_based_strategy,0
jenkins,wcm_io_devops.jenkins_pipeline_library,fubarhouse.jenkins-jobs,0
jenkins,mattandes.jenkins_slave_win,peopledoc.ansible-role-jenkins-node,0
jenkins,hemanth22.azurejenkins,Oefenweb.jenkins,0
jenkins,deepak9829.ansible_jenkinsserver,jeqo.jenkins,0
jenkins,pkorobeinikov.jenkins,crossgovernmentservices.jenkins,0
jenkins,wunzeco.jenkins-extra,Azulinho.azulinho-yum-repo-jenkins,0
jenkins,v1v.jenkins_plugin_cli,jumperfly.jenkins,0
jenkins,mmagonde.ansible_jenkins_swarm_agent,ableton.jenkins_jcasc,0
mysql,bennojoy.mysql,Deepak-Khandelwal.ansible-mysql,1
mysql,geerlingguy.mysql,KAMI911.mysql,1
mysql,geerlingguy.mysql,LIP-Computing.mysql,1
mysql,lyrasis.automysqlbackup,MaximeThoonsen.automysqlbackup,1
mysql,bennojoy.mysql,RamjiVE.mysql,1
mysql,geerlingguy.mysql,RobertoSolis.mysql,1
mysql,geerlingguy.php-mysql,RobertoSolis.php-mysql,1
mysql,ansiblebit.mysql-server,Silencerco.mysql-server,1
mysql,geerlingguy.mysql,Vaizard.mage_mysql,1
mysql,geerlingguy.mysql,apolloclark.mysql,1
mysql,geerlingguy.mysql,augustohp.mysql,1
mysql,geerlingguy.mysql,bpresles.mysql,1
mysql,geerlingguy.mysql,call_learning.ansible-role-mysql,1
mysql,ansibleplaybookbundle.mysql_apb,chengzhang1016.mysql_apb,1
mysql,geerlingguy.mysql,clivewalkden.ansible_role_mysql,1
mysql,bpresles.mysql,corehook.mysql,1
mysql,geerlingguy.mysql,damianlewis.mysql,1
mysql,geerlingguy.mysql,dev-sec.mysql,1
mysql,opichon.docker-mysql,dzangolab.docker_mysql,1
mysql,opichon.mysql-backup,dzangolab.docker_mysql_backup,1
mysql,ome.mysql_backup,edmondscommerce.ansible_role_mysql_backup,1
mysql,opichon.docker-mysql,fabceolin.ansible_docker_mysql,1
mysql,geerlingguy.mysql,flyvictor.mysql,1
mysql,geerlingguy.mysql,frogasia.ansible-role-mysql,1
mysql,geerlingguy.mysql,gabrielke.mysql,1
mysql,bennojoy.mysql,ginsys.mysql,1
mysql,geerlingguy.mysql,gnishanth4.mysql,1
mysql,geerlingguy.mysql,goloxy.ansible-role-mysql,1
mysql,geerlingguy.mysql,gregdek.mysql,1
mysql,lyrasis.automysqlbackup,guisea.automysqlbackup,1
mysql,mmumshad.mysql,hbz_one.ansible_role_mysql,1
mysql,EHER.mysql,homburg.docker-ansible-mysql,1
mysql,geerlingguy.mysql,jetune.mysql,1
mysql,geerlingguy.mysql,jonpugh.ansible_role_mysql,1
mysql,geerlingguy.mysql,joshuacherry.ansible_role_mysql,1
mysql,geerlingguy.mysql,juju4.mysql,1
mysql,geerlingguy.mysql,justereseau.mysql,1
mysql,bennojoy.mysql,kzap.mysql,1
mysql,jonpugh.ansible_role_mysql,mafalb.ansible_role_mysql,1
mysql,geerlingguy.mysql,mstantoncook.mysql,1
mysql,geerlingguy.mysql,mvasilenko.mysql,1
mysql,geerlingguy.mysql,net2grid.mysql,1
mysql,geerlingguy.php-mysql,net2grid.php-mysql,1
mysql,geerlingguy.mysql,nycrecords.mysql,1
mysql,panickervinod.openapphack-mysql,openapphack.mysql,1
mysql,panickervinod.openapphack-php-mysql,openapphack.php-mysql,1
mysql,geerlingguy.php-mysql,paulthed.php-mysql,1
mysql,infOpen.mysql-server,pm5.mysql-server,1
mysql,datadog-galaxy.mysql,rooty.mysql,1
mysql,ome.mysql_backup,sbesson.mysql_backup,1
mysql,mmumshad.mysql,shobhitsaxena1424.ansible_role_mysql,1
mysql,geerlingguy.mysql,singleplatform-eng.ansible-role-mysql,1
mysql,geerlingguy.mysql,stacktonic.mysql,1
mysql,bennojoy.mysql,tmas0.mysql,1
mysql,geerlingguy.mysql,trevorr.mysql,1
mysql,geerlingguy.mysql,troyxmccall.mysql,1
mysql,geerlingguy.mysql,vahubert.ansible_role_mysql,1
mysql,geerlingguy.mysql,vanessakovalsky.mysql,1
mysql,geerlingguy.mysql,vanzhiganov.mysql,1
mysql,geerlingguy.mysql,vhubertngi.ansible_role_mysql,1
mysql,geerlingguy.mysql,vitvegl.mysql,1
mysql,douglasmsi.mysql_ansible,wcossta.mysql_ansible,1
mysql,bennojoy.mysql,xpxstar.mysql,1
mysql,geerlingguy.php-mysql,yfix.php-mysql,1
mysql,neeyoma.ansible_role_mysql,amahendran19.mysql,0
mysql,Deepak-Khandelwal.ansible-mysql,robertdebock.y,0
mysql,dev-sec.mysql-hardening,daixijun.mysql,0
mysql,corehook.mysql,antonchernik.mysql-connector-java,0
mysql,riaf.mysql,alisio.mysql_server,0
mysql,opichon.mysql-backup,robertdebock.y,0
mysql,ussrlongbow.mysql,lawrider.ansible_role_mysql,0
mysql,adelmosilva.mysql_server,mariuszczyz.centos_mysql,0
mysql,harista.ansible_role_mysql,GR360RY.kodi-mysql,0
mysql,ElaoInfra.mysql,akli1512.ansible_role_mysql,0
mysql,cloudengineer4linux.mysql_server,custu2000.role_mysql_test,0
mysql,justereseau.mysql,memoor72.ansible_role_mysql,0
mysql,EHER.mysql,lferreira1980.mysql_server,0
mysql,GR360RY.kodi-mysql,wtanaka.mysql,0
mysql,rooty.mysql,vicenteg.mysql_server,0
mysql,lawrider.ansible_role_mysql,gzeel.mysql,0
mysql,clusterfrak.mysql,idealista.mysql-role,0
mysql,marcelocorreia.mysql-install,devikababuraj.mysql,0
mysql,soidridine_hub.mysql,tonythomasm.ansible_role_mysql,0
mysql,6nsh.mysql_server,samimcloud2020.ansible_role_mysql,0
mysql,softasap.sa-mysql-percona,axelitus.mysql,0
mysql,phansible.mysql,harista.ansible_role_mysql,0
mysql,erik_larsson.mysql_server,devikababuraj.mysql,0
mysql,augustohp.mysql,clouddrove.ansible_role_mysql,0
mysql,sandy702.ansible_role_mysql,entercloudsuite.mysql-innobackupex,0
mysql,alisio.mysql_server,akli1512.ansible_role_mysql,0
mysql,aminvakil.mysql_initial,Arkilog.mysql-vagrant,0
mysql,ffornari90.ansible_role_mysql,thatdevopneal.ansible_role_mysql,0
mysql,ewypych.mysql-db-user,mhmh9711.ansible_role_mysql,0
mysql,dba_ray.mysql,softasap.sa_mysql_galera,0
mysql,MichaelRigart.mysql,rdoppala.mysql,0
mysql,infOpen.mysql-backup,kzap.mysql,0
mysql,andreidba.ansible_role_mysql,wahidsadik.ansible-role-mysql,0
mysql,gacerioni.mysql_ansible,abrasumentes.ansible_roles_mysql,0
mysql,leafnode.mysql,dotfob.mysql_server,0
mysql,sujankumar4593.mysql,muhametkaqandolli.ansible_role_mysql,0
mysql,mouadmem16.ansible_role_mysql_db,tschifftner.mysql,0
mysql,tleguern.mysql,fourforbusiness.mysql-prepare-db,0
mysql,luisico.mysql,brunopisca.mysql_server,0
mysql,pm5.mysql-server,Vaizard.mage_mysql,0
mysql,RamjiVE.mysql,officel.mysql56,0
mysql,creidinger.mysql_dump,seanw7.MySQL-AnsibleRole,0
mysql,dmae3.galaxy-mysql,abrasumentes.ansible_roles_mysql,0
mysql,themaniskshah.ansible_role_mysql,custu2000.role_mysql_test,0
mysql,todayislegday.ansible_role_mysqldb,alfred_leech.ansible_role_mysql,0
mysql,vahubert.ansible_role_mysql,infra_anoop.ansible_role_mysql_db,0
mysql,idealista.prometheus_mysqld_exporter_role,naijavijayank.mysql,0
mysql,suyogshinde942.ansible_role_wordpress_mysql_on_k8s_cluster,fractalic.mysql-rootpass,0
mysql,azzazzel.liferay-db-mysql,frogasia.ansible-role-mysql,0
mysql,fabceolin.ansible_docker_mysql,clivewalkden.ansible_role_mysql,0
mysql,openapphack.php-mysql,dba_ray.mysql_docker,0
mysql,plumelo.mysql,xpxstar.mysql,0
mysql,orlandosantos.mysql_server,netzwirt.mysql-server,0
mysql,WebbyLab.mysql,michaelcoburn.percona_mysql,0
mysql,naijavijayank.mysql,bbatsche.MySQL,0
mysql,kyxap1.mysql-manage,rdoppala.mysql,0
mysql,daixijun.mysql,azzazzel.liferay-db-mysql,0
mysql,Silencerco.mysql-server,iamabhishek_dubey.ansible_role_mysql,0
mysql,deimosfr.mysql,wcossta.mysql_ansible,0
mysql,neeyoma.ansible_role_mysql,panickervinod.openapphack-php-mysql,0
mysql,leo9440.mysql_server,clusterfrak.mysql,0
mysql,padawalekailas.ansible_role_mysql,elan.monitoring_mysqld_exporter,0
mysql,ten7.mysql_backup,sbesson.mysql_backup,0
mysql,dba_ray.manage_mysql,leadlineit.mysql_server,0
